,precision,recall,f1-score,support
Θ¢╢σ║ªσÅ»Σ╣Éµæ⌐τÖ╗τ╜É4σ░üΦúà,0.0,0.0,0.0,2.0
Θ¢╢σ║ªσÅ»Σ╣Éτ║óτ╜ÉΦúà,0.0,0.0,0.0,21.0
Θ£ôΦú│µ┤ùΦíúµ╢▓Σ╕¥µ»¢Σ╕ôτö¿µ¼╛700g,0.0,0.0,0.0,9.0
Θ£ôΦú│µ┤ùΦíúµ╢▓σåàΦíúΣ╕ôτö¿µ¼╛700g,0.0,0.0,0.0,11.0
Θ£╕τÄïτÜéΦºÆσÄ╗σ▒æµ┤ùσÅæΘ£▓400,0.0,0.0,0.0,1.0
Θ£▓Θ£▓µ¥ÅΣ╗üΘ£▓,0.0,0.0,0.0,19.0
Θ¥ÆΘéæσòñΘàÆ330τ╗äσÉêΦúà,0.0,0.0,0.0,3.0
Θ¥ÆΘéæσòñΘàÆ330τ╜Éσòñ,0.0,0.0,0.0,3.0
Θ¥ÆΦè▒τô╖,0.0,0.0,0.0,2.0
Θ¥Æσ▓¢8σ║ªµ╖íτê╜,0.0,0.0,0.0,2.0
Θ¥Æσ▓¢σòñΘàÆµ₧úσæ│Θ╗æσòñ296τô╢Φúà,0.0,0.0,0.0,14.0
Θ¥Æσ▓¢σòñΘàÆµ╕àΘåç330_24τ╜Éσòñ,0.0,0.0,0.0,9.0
Θ¥Æσ▓¢σòñΘàÆµ╕àΘåç330_6τ╜Éσòñ,0.0,0.0,0.0,3.0
Θ¥Æσ▓¢σòñΘàÆµ╕àΘåç330ml,0.0,0.0,0.0,44.0
Θ¥Æσ▓¢σòñΘàÆµ╕àΘåç500τ╗äσÉêΦúà,0.0,0.0,0.0,2.0
Θ¥Æσ▓¢σòñΘàÆµ╕àΘåçΦô¥σÉ¼330mlτ╗äσÉêΦúà,0.0,0.0,0.0,3.0
Θ¥Æσ▓¢σòñΘàÆµ╕àτê╜600τô╢Φúà,0.0,0.0,0.0,23.0
Θ¥Æσ▓¢σòñΘàÆµ╕àτê╜8σ║ª330τ╗äσÉêΦúà,0.0,0.0,0.0,13.0
Θ¥Æσ▓¢σòñΘàÆµ╕àτê╜8σ║ª330τ╜Éσòñ,0.0,0.0,0.0,19.0
Θ¥Æσ▓¢σòñΘàÆµ╖íτê╜8σ║ª330τ╜Éσòñ,0.0,0.0,0.0,44.0
Θ¥Æσ▓¢σòñΘàÆµ╖íτê╜8σ║ª500_12τ╜Éσòñ,0.0,0.0,0.0,16.0
Θ¥Æσ▓¢σòñΘàÆµ╖íτê╜8σ║ª500τ╜Éσòñ,0.0,0.0,0.0,21.0
Θ¥Æσ▓¢σòñΘàÆΘ╕┐Φ┐Éσ╜ôσñ┤355τô╢Φúà,0.0,0.0,0.0,41.0
Θ¥Æσ▓¢σòñΘàÆΘ╗æσòñΘàÆ500τ╜Éσòñ,0.0,0.0,0.0,53.0
Θ¥Æσ▓¢σòñΘàÆΦ╢àτê╜500ml,0.0,0.0,0.0,2.0
Θ¥Æσ▓¢σòñΘàÆΦ╢│τÉâτ╜É330ml,0.0,0.0,0.0,3.0
Θ¥Æσ▓¢σòñΘàÆσÑÑσÅñτë╣500ml,0.0,0.0,0.0,91.0
Θ¥Æσ▓¢σòñΘàÆσÑÑσÅñτë╣500mlτ«▒Φúà,0.0,0.0,0.0,3.0
Θ¥Æσ▓¢σòñΘàÆσÑÑσÅñτë╣τ╜Éσòñτë¢σìíτ║╕,0.0,0.0,0.0,11.0
Θ¥Æσ▓¢σòñΘàÆσÑÑσÅñτë╣τ╜Éσòñτë¢σìíτ║╕τ╗äσÉêΦúà,0.0,0.0,0.0,2.0
Θ¥Æσ▓¢σòñΘàÆσÑùσ£êΦúà9σ║ª500τ╜Éσòñ,0.0,0.0,0.0,26.0
Θ¥Æσ▓¢σòñΘàÆσà¿Θ║ªτÖ╜σòñ330τ╗äσÉêΦúà,0.0,0.0,0.0,3.0
Θ¥Æσ▓¢σòñΘàÆσà¿Θ║ªτÖ╜σòñ500mlτ«▒Φúà,0.0,0.0,0.0,3.0
Θ¥Æσ▓¢σòñΘàÆσà¿Θ║ªτÖ╜σòñ500τ╗äσÉêΦúà,0.0,0.0,0.0,12.0
Θ¥Æσ▓¢σòñΘàÆσà¿Θ║ªτÖ╜σòñ500τ╜Éσòñ,0.0,0.0,0.0,31.0
Θ¥Æσ▓¢σòñΘàÆσå░Θåç330ml,0.0,0.0,0.0,14.0
Θ¥Æσ▓¢σòñΘàÆσå░Θåç330mlτ╗äσÉêΦúà,0.0,0.0,0.0,2.0
Θ¥Æσ▓¢σòñΘàÆσå░Θåç500ml,0.0,0.0,0.0,5.0
Θ¥Æσ▓¢σòñΘàÆσå░Θåç600mlτô╢Φúà,0.0,0.0,0.0,13.0
Θ¥Æσ▓¢σòñΘàÆσå░Θåç600mlτô╢Φúàτ«▒Φúà,0.0,0.0,0.0,1.0
Θ¥Æσ▓¢σòñΘàÆσå░τ║»600mlτô╢Φúà,0.0,0.0,0.0,11.0
Θ¥Æσ▓¢σòñΘàÆσñºΣ╝ÿ600mlτô╢Φúà,0.0,0.0,0.0,8.0
Θ¥Æσ▓¢σòñΘàÆσ░ÅµúòΘçæ296τô╢Φúà,0.0,0.0,0.0,61.0
Θ¥Æσ▓¢σòñΘàÆτ║»σ╣▓330ml,0.0,0.0,0.0,25.0
Θ¥Æσ▓¢σòñΘàÆτ║»σ╣▓500_12τ╜Éσòñ,0.0,0.0,0.0,1.0
Θ¥Æσ▓¢σòñΘàÆτ║»τöƒ330mlτ╗äσÉêΦúà,0.0,0.0,0.0,19.0
Θ¥Æσ▓¢σòñΘàÆτ║»τöƒ330mlτ╜Éσòñ,0.0,0.0,0.0,16.0
Θ¥Æσ▓¢σòñΘàÆτ║»τöƒ500mlτ╗äσÉêΦúà,0.0,0.0,0.0,4.0
Θ¥Æσ▓¢σòñΘàÆτ║»τöƒ500mlτ╜Éσòñ,0.0,0.0,0.0,53.0
Θ¥Æσ▓¢σòñΘàÆτ║»τöƒ600mlτô╢Φúà,0.0,0.0,0.0,49.0
Θ¥Æσ▓¢σòñΘàÆτ║»τöƒ600mlτ╗äσÉêΦúà,0.0,0.0,0.0,2.0
Θ¥Æσ▓¢σòñΘàÆτ║»τöƒΦô¥330ml,0.0,0.0,0.0,3.0
Θ¥Æσ▓¢σòñΘàÆτ╗Åσà╕10σ║ª500_12τ╜Éσòñ,0.0,0.0,0.0,2.0
Θ¥Æσ▓¢σòñΘàÆτ╗Åσà╕10σ║ª500_8µÅÉµëïΦúàτ╜Éσòñ∩╝ê8+2τÖ╜σòñΣ╝ÿµâáΦúà∩╝ë,0.0,0.0,0.0,2.0
Θ¥Æσ▓¢σòñΘàÆτ╗Åσà╕10σ║ª500τ╜Éσòñ,0.0,0.0,0.0,33.0
Θ¥Æσ▓¢σòñΘàÆτ╗Åσà╕10σ║ª600τô╢Φúà,0.0,0.0,0.0,27.0
Θ¥Æσ▓¢σòñΘàÆτ╗Åσà╕10σ║ª600τ╗äσÉêΦúà,0.0,0.0,0.0,5.0
Θ¥Æσ▓¢σòñΘàÆτ╗Åσà╕11σ║ª330τ╜Éσòñ,0.0,0.0,0.0,44.0
Θ¥Æσ▓¢σòñΘàÆτ╗Åσà╕11σ║ª330τ╜Éσòñτ«▒Φúà,0.0,0.0,0.0,6.0
Θ¥Æσ▓¢σòñΘàÆτ╗Åσà╕11σ║ª500τ╗äσÉêΦúà,0.0,0.0,0.0,2.0
Θ¥Æσ▓¢σòñΘàÆτ╗Åσà╕11σ║ª500τ╜Éσòñ,0.0,0.0,0.0,12.0
Θ¥Æσ▓¢σòñΘàÆτ╗Åσà╕11σ║ª600τô╢Φúà,0.0,0.0,0.0,10.0
Θ¥Æσ▓¢σòñΘàÆτ╗Åσà╕11σ║ªτ╜Éσòñτë¢σìíτ║╕τ╗äσÉêΦúà,0.0,0.0,0.0,106.0
Θ¥Æσ▓¢σòñΘàÆτ╗Åσà╕∩╝ê1903∩╝ë10σ║ª330_6τ╜Éσòñ,0.0,0.0,0.0,34.0
Θ¥Æσ▓¢σòñΘàÆτ╗Åσà╕∩╝ê1903∩╝ë10σ║ª500mlτ╜Éσòñ,0.0,0.0,0.0,7.0
Θ¥Æσ▓¢σòñΘàÆτ╗Åσà╕∩╝ê1903∩╝ë10σ║ª600τô╢Φúà,0.0,0.0,0.0,5.0
Θ¥Æσ▓¢σòñΘàÆτ╗Åσà╕∩╝ê1903∩╝ëσñìσÅñΦúà10σ║ª500τ╜Éσòñ,0.0,0.0,0.0,14.0
Θ¥Æτô╖µ╜¡,0.0,0.0,0.0,6.0
ΘªÖΘúÿΘúÿmeco,0.0,0.0,0.0,7.0
ΘÆôΘ▒╝σÅ░∩╝ê84mmτ╗åµö»∩╝ë,0.0,0.0,0.0,2.0
ΘÆôΘ▒╝σÅ░∩╝êΣ╕¡µö»∩╝ë,0.0,0.0,0.0,1.0
ΘÆ╗τƒ│∩╝êΘçæτÄëσà░∩╝ë,0.0,0.0,0.0,2.0
ΘÆ╗τƒ│∩╝êΘ╕┐Φ┐É∩╝ë,0.0,0.0,0.0,1.0
ΘÆ╗τƒ│∩╝êΣ╕ÇσôüΦì╖Φè▒∩╝ë,0.0,0.0,0.0,3.0
ΘÆ╗τƒ│∩╝êΦì╖Φè▒∩╝ë,0.0,0.0,0.0,2.0
ΘÆ╗τƒ│∩╝êΦ╜»Φì╖Φè▒∩╝ë,0.0,0.0,0.0,3.0
ΘÆ╗τƒ│∩╝êΦ╜»τ╗┐∩╝ë,0.0,0.0,0.0,2.0
ΘÆ╗τƒ│∩╝êσÅîΣ╕¡µö»Φì╖Φè▒∩╝ë,0.0,0.0,0.0,2.0
ΘÆ╗τƒ│∩╝êτí¼τë╣Θåç∩╝ë,0.0,0.0,0.0,2.0
ΘÆ╗τƒ│∩╝êτ╗åµö»Φì╖Φè▒∩╝ë,0.0,0.0,0.0,50.0
ΘÑ¡µë½σàë,0.0,0.0,0.0,3.0
ΘÖêΣ╕ûσ«╢Σ╕ÇσôüΘªÖΘåï,0.0,0.0,0.0,1.0
Θà┐ΘÇáΘúƒΘåïΘòçµ▒ƒΘªÖΘåï,0.0,0.0,0.0,26.0
Θà┐ΘÇáΘúƒΘåïΘòçµ▒ƒΘÖêΘåï,0.0,0.0,0.0,13.0
Θà╖σä┐µ⌐Öσæ│τ╗äσÉêΦúà,0.0,0.0,0.0,10.0
Θâ½σÄ┐Φ▒åτôú,0.0,0.0,0.0,11.0
ΘâÄτëî,0.0,0.0,0.0,4.0
ΘâæΣ╕çσê⌐35σ║ªσ«üµ│óτë╣µ¢▓2.5L,0.0,0.0,0.0,2.0
ΘâæΣ╕çσê⌐τë╣σê╢τ│ƒτâºτÖ╜ΘàÆ50σ║ª5L,0.0,0.0,0.0,2.0
Θå»σ«ÿΘåïσÄƒµ╡åΦï╣µ₧£Θåï,0.0,0.0,0.0,61.0
Θå»σ«ÿΘåïσÄƒµ╡åτ▒│Θåï,0.0,0.0,0.0,76.0
ΘåçΘªÖτ▒│Θåï2L,0.0,0.0,0.0,54.0
ΘçæµíÑ∩╝êσÅîτêå∩╝ë,0.0,0.0,0.0,2.0
ΘçæµíÑ∩╝êσå░τêå∩╝ë,0.0,0.0,0.0,24.0
Θçæµ₧£µ║ÉΦï╣µ₧£Θåïµ₧£ΘåïΘÑ«µûÖ330ml,0.0,0.0,0.0,3.0
Θçæµ╛│Θù¿,0.0,0.0,0.0,1.0
Θçæµ▓Öµ▓│Θ╛ÖΘí╗Θ¥ó,0.0,0.0,0.0,2.0
Θçæµ▓Öµ▓│σêÇσëèµîéΘ¥óτ┤½,0.0,0.0,0.0,1.0
ΘçæΘí║Θòçµ▒ƒΘªÖΘåï,0.0,0.0,0.0,5.0
ΘçæΘ╛ÖΘ▒╝ΘªÖΦè¥Θ║╗µ▓╣400ML,0.0,0.0,0.0,77.0
ΘçæΘ╛ÖΘ▒╝σ░Åτú¿ΘªÖµ▓╣220ML,0.0,0.0,0.0,29.0
ΘçæΣ╕╣Θÿ│,0.0,0.0,0.0,1.0
ΘçæΦÅ£σ£░σçÇΦà┐ΦéëτÿªΦéëΘà▒,0.0,0.0,0.0,2.0
Θçæσ£ú∩╝êµÖ║σ£úσç║σ▒▒∩╝ë,0.0,0.0,0.0,1.0
Θçæσ£ú∩╝êµÖ║σ£úσç║σ▒▒┬╖σ¢╜σæ│∩╝ë,0.0,0.0,0.0,1.0
Θçæσ£ú∩╝êµ╗òτÄïΘÿüΘò┐σñ⌐∩╝ë,0.0,0.0,0.0,1.0
Θçæσ£ú∩╝êµ╗òτÄïΘÿüτ╗åµö»∩╝ë,0.0,0.0,0.0,3.0
Θçæσ£ú∩╝êµ╗òτÄïΘÿü┬╖τ┤½σàë∩╝ë,0.0,0.0,0.0,6.0
Θçæσ£ú∩╝êσ║Éσ▒▒∩╝ë,0.0,0.0,0.0,4.0
Θçæσ£ú∩╝êτí¼µ╗òτÄïΘÿü∩╝ë,0.0,0.0,0.0,6.0
Θçæσ¿üσíæσ░üΦå£,0.0,0.0,0.0,1.0
Θçæσ¿üσòñΘàÆ,0.0,0.0,0.0,52.0
Θçæσà╕µ£ëµ£║τ║»τë¢σÑ╢µóªσ╣╗τ¢û250ml,0.0,0.0,0.0,10.0
Θçæσ┤éΘ╗æσòñ,0.0,0.0,0.0,4.0
Θçæσ▒▒σ»║σ«┤Σ╝ÜΘªÖΘåï,0.0,0.0,0.0,4.0
Θçæτ║║µ┤ùΦíúµ╢▓4L,0.0,0.0,0.0,7.0
Θçæτ║║µ┤ùΦíúµ╢▓µ¿▒Φè▒4L,0.0,0.0,0.0,1.0
Θçæτ║║µ┤ùΦíúµ╢▓µ╕àµû░µƒöΘí║4L,0.0,0.0,0.0,5.0
Θçæτ║║µ┤ùΦíúµ╢▓Φû░ΦíúΦìë4L,0.0,0.0,0.0,7.0
Θçìσ║åΦÇüτü½Θöàσ║òµûÖ,0.0,0.0,0.0,1.0
Θéªσ╛╖σÆûσòíµï┐ΘôüΘúÄσæ│,0.0,0.0,0.0,5.0
Θéªσ╛╖σÆûσòíσå░σÆûσòí,0.0,0.0,0.0,6.0
Θéªσ╛╖σÑ╢µÿöσÆûσòíσÅúσæ│,0.0,0.0,0.0,2.0
Θéªσ╛╖σÑ╢µÿöσ╖ºσàïσè¢σÅúσæ│,0.0,0.0,0.0,2.0
Θòçµ▒ƒτÖ╜ΘàÆ,0.0,0.0,0.0,6.0
Θò┐σƒÄ∩╝ê10µö»132τºÿσê╢∩╝ë,0.0,0.0,0.0,1.0
Θò┐σƒÄ∩╝ê132Θåçσæ│∩╝ë,0.0,0.0,0.0,1.0
Θò┐σƒÄ∩╝ê3σÅ╖∩╝ë,0.0,0.0,0.0,1.0
Θò┐σƒÄ∩╝êΘåçΘ¢à COCO∩╝ë,0.0,0.0,0.0,2.0
Θò┐σƒÄ∩╝êΘåçΘ¢àΦûäΦì╖∩╝ë,0.0,0.0,0.0,4.0
Θò┐σƒÄ∩╝êΘåçΘ¢àσÑ╢ΘªÖ∩╝ë,0.0,0.0,0.0,1.0
Θò┐σƒÄ∩╝êΘçæσìùµ₧ü∩╝ë,0.0,0.0,0.0,1.0
Θò┐σƒÄ∩╝êΣ╕¥Φ╖»∩╝ë,0.0,0.0,0.0,1.0
Θò┐σƒÄ∩╝êΦ┐╖Σ╜áΘªÖΦìë∩╝ë,0.0,0.0,0.0,1.0
Θò┐σƒÄ∩╝êΦ┐╖Σ╜áσÆûσòí∩╝ë,0.0,0.0,0.0,1.0
Θò┐σƒÄ∩╝êΦ╜»Σ╝áσÑç∩╝ë,0.0,0.0,0.0,1.0
Θò┐σƒÄ∩╝êσñºσÅ╖Θô¥τ«í5µö»∩╝ë,0.0,0.0,0.0,1.0
Θò┐σƒÄ∩╝êτ¢¢Σ╕û5σÅ╖∩╝ë,0.0,0.0,0.0,1.0
Θò┐σƒÄ∩╝êτ║óΦë▓132∩╝ë,0.0,0.0,0.0,1.0
Θò┐τÖ╜σ▒▒∩╝ê777∩╝ë,0.0,0.0,0.0,37.0
Θò┐τÖ╜σ▒▒∩╝êµ╡╖Φô¥∩╝ë,0.0,0.0,0.0,3.0
Θò┐τÖ╜σ▒▒∩╝êΣ║║σÅé∩╝ë,0.0,0.0,0.0,2.0
Θò┐τÖ╜σ▒▒∩╝êΦ┐ÄµÿÑΣ╕¡µö»∩╝ë,0.0,0.0,0.0,3.0
Θò┐τÖ╜σ▒▒∩╝êΦ╜»τ║ó∩╝ë,0.0,0.0,0.0,2.0
Θò┐τÖ╜σ▒▒∩╝êσ£úσóâ∩╝ë,0.0,0.0,0.0,1.0
Θò┐τÖ╜σ▒▒∩╝êτ║ó∩╝ë,0.0,0.0,0.0,1.0
Θô╢Θ╣¡Φè▒τöƒτë¢σÑ╢,0.0,0.0,0.0,35.0
Θö«Φâ╜,0.0,0.0,0.0,36.0
ΘúÿµƒöµƒöΘí║µ╗ïσà╗σ₧ïµ┤ùσÅæΘ£▓400,0.0,0.0,0.0,1.0
Θúÿµƒöµ╕àτê╜σÄ╗µ▓╣σ₧ïµ┤ùσÅæΘ£▓400,0.0,0.0,0.0,2.0
Θúÿµƒöµ╗ïµ╢ªσÄ╗σ▒æµ┤ùσÅæΘ£▓400,0.0,0.0,0.0,3.0
ΘúÿµƒöΘªÖµ░¢τö£τ╛ÄΦè▒µ╝╛µèñσÅæτ┤á530,0.0,0.0,0.0,4.0
ΘúÿµƒöΘªÖµ░¢τö£τ╛ÄΦè▒µ╝╛µ┤ùσÅæΘ£▓530,0.0,0.0,0.0,4.0
ΘúÿµƒöΘò┐µòêµ¡óτùÆµ┤ùσÅæΘ£▓750,0.0,0.0,0.0,2.0
ΘúÿµƒöΘò┐µòêµ┤üΘí║µ░┤µ╢ªµ┤ùσÅæΘ£▓750,0.0,0.0,0.0,2.0
ΘúÿµƒöΘò┐µòêµ╕àτê╜σÄ╗µ▓╣µ┤ùσÅæΘ£▓750,0.0,0.0,0.0,1.0
ΘúÿµƒöΣ║║σÅéµ╗ïσà╗µ┤ùσÅæΘ£▓200,0.0,0.0,0.0,1.0
Θúÿµƒöσ«╢σ║¡µèñτÉåσà░Φè▒µ┤üΘí║µ░┤µ╢ªµ┤ùσÅæΘ£▓400,0.0,0.0,0.0,1.0
Θúÿµƒöτ▓╛µ▓╣µ╢ªσà╗µƒöΘí║µ┤ùσÅæΘ£▓400,0.0,0.0,0.0,1.0
Θúÿµƒöτ▓╛µ▓╣µ╢ªσà╗µƒöΘí║µ┤ùσÅæΘ£▓750,0.0,0.0,0.0,2.0
Θüôσàë,0.0,0.0,0.0,1.0
Θü╡Σ╣ë∩╝êΦ╜»∩╝ë,0.0,0.0,0.0,1.0
Θü╡σ╛¬Φç¬τä╢σÄƒΘà┐Θà▒µ▓╣,0.0,0.0,0.0,77.0
Θÿ┐Θçîσ▒▒∩╝êµÖ»µ│░σà╕Φô¥τí¼∩╝ë,0.0,0.0,0.0,3.0
Θÿ┐Θçîσ▒▒∩╝êσ«¥τ¢╕Φè▒τí¼σîà∩╝ë,0.0,0.0,0.0,1.0
Θÿ┐Θçîσ▒▒∩╝êσñ⌐Θƒ╡∩╝ë,0.0,0.0,0.0,1.0
Θÿ┐Θüôσñ½Φ╜╗µƒöΣ╕¥µ╗æµ┤ùσÅæΣ╣│µ╢▓800g,0.0,0.0,0.0,2.0
Θÿ┐Θüôσñ½σçÇµ╛êµ╕àτê╜µ┤ùσÅæΣ╣│µ╢▓800g,0.0,0.0,0.0,3.0
Θÿ┐Θüôσñ½τ▓╛µ▓╣µ▓Éµ╡┤Θ£▓,0.0,0.0,0.0,3.0
Θÿ┐Σ╕Çµ│óµ£ëµ£║τ┤½ΦÅ£,0.0,0.0,0.0,7.0
Θÿ┐Σ╕Çµ│óµ⌐äµªäΦÅ£,0.0,0.0,0.0,7.0
Θÿ┐Σ╕Çµ│óΘçÄτöƒσ¥¢σ¡ÉΦÅ£,0.0,0.0,0.0,1.0
Θÿ┐Σ╕Çµ│óΦÖ╛τÜ«,0.0,0.0,0.0,2.0
Θÿ┐Σ╕Çµ│óτ┤½ΦÅ£,0.0,0.0,0.0,3.0
Θÿ┐Σ╕Çµ│óτ┤½ΦÅ£Φóï,0.0,0.0,0.0,5.0
Θÿ┐ΦÉ¿σºåσÑ╢Φî╢,0.0,0.0,0.0,32.0
Θÿ┐σìÄτö░Θ║ªΦè╜Σ╣│ΘÑ«σôüσÅ»σÅ»σæ│,0.0,0.0,0.0,3.0
Θÿ┐σìÄτö░τçòΘ║ªΣ╣│ΘÑ«σôü,0.0,0.0,0.0,3.0
Θƒ⌐Σ╕ÇσÑ╢σÑ╢Θà▒(τ╗┐Φë▓),0.0,0.0,0.0,2.0
Θƒ⌐Σ╕ÇσÑ╢σÑ╢Φ╛úµñÆΘà▒,0.0,0.0,0.0,21.0
Θ║ÆΘ║ƒσìêσÉÄσÑ╢Φî╢σ╖ºσàïσè¢σæ│,0.0,0.0,0.0,5.0
Θ║ÆΘ║ƒσìêσÉÄσÑ╢Φî╢τ╗Åσà╕σÄƒσæ│,0.0,0.0,0.0,7.0
Θ║ÆΘ║ƒσòñΘàÆ,0.0,0.0,0.0,6.0
Θ║ÆΘ║ƒσòñΘàÆτ╗äσÉêΦúà,0.0,0.0,0.0,2.0
Θ║ÆΘ║ƒτü½σÆûµäÅσ╝Åµï┐ΘôüσÆûσòí,0.0,0.0,0.0,7.0
Θ║ÆΘ║ƒτü½σÆûτ╛Äσ╝Åσå░σÆûσòí,0.0,0.0,0.0,2.0
Θ╗äµ₧£µáæ∩╝êΣ╜│Θü╡∩╝ë,0.0,0.0,0.0,1.0
Θ╗äµ₧£µáæ∩╝êΣ╜│σôü∩╝ë,0.0,0.0,0.0,1.0
Θ╗äµ₧£µáæ∩╝êΦô¥Σ╜│σôü∩╝ë,0.0,0.0,0.0,1.0
Θ╗äΘçæσÅ╢∩╝êtime∩╝ë,0.0,0.0,0.0,4.0
Θ╗äΘçæσÅ╢∩╝êµæ⌐σìí∩╝ë,0.0,0.0,0.0,4.0
Θ╗äΘçæσÅ╢∩╝êµéªσ░Ü∩╝ë,0.0,0.0,0.0,36.0
Θ╗äΘçæσÅ╢∩╝êµ╡ôΘªÖτ╗åµö»∩╝ë,0.0,0.0,0.0,231.0
Θ╗äΘçæσÅ╢∩╝êΘçæµ╗íσáé∩╝ë,0.0,0.0,0.0,41.0
Θ╗äΘçæσÅ╢∩╝êΘçæΣ╕¥Φ╖»∩╝ë,0.0,0.0,0.0,2.0
Θ╗äΘçæσÅ╢∩╝êΘçæσªéµäÅ∩╝ë,0.0,0.0,0.0,3.0
Θ╗äΘçæσÅ╢∩╝êΘçæσ░ÜΘà╖∩╝ë,0.0,0.0,0.0,11.0
Θ╗äΘçæσÅ╢∩╝êΘ╕┐Φ┐Éσ╕¥Φ▒¬∩╝ë,0.0,0.0,0.0,15.0
Θ╗äΘçæσÅ╢∩╝êΘ╗äΘçæΣ╕¡µö»∩╝ë,0.0,0.0,0.0,11.0
Θ╗äΘçæσÅ╢∩╝êΘ╗äΘçæτ£╝∩╝ë,0.0,0.0,0.0,111.0
Θ╗äΘçæσÅ╢∩╝êΣ╕ÇΣ╗úσñ⌐Θ¬ä∩╝ë,0.0,0.0,0.0,27.0
Θ╗äΘçæσÅ╢∩╝êΣ╣ÉΘÇö∩╝ë,0.0,0.0,0.0,291.0
Θ╗äΘçæσÅ╢∩╝êΦ«╕µÿîµ░┤Θƒ╡ΦÄ▓σƒÄ∩╝ë,0.0,0.0,0.0,3.0
Θ╗äΘçæσÅ╢∩╝êΦ╜»Θ╗äΘçæ∩╝ë,0.0,0.0,0.0,12.0
Θ╗äΘçæσÅ╢∩╝êΦ▒½ΘªÖ∩╝ë,0.0,0.0,0.0,41.0
Θ╗äΘçæσÅ╢∩╝êΦ▒½τâƒ2σÅ╖∩╝ë,0.0,0.0,0.0,63.0
Θ╗äΘçæσÅ╢∩╝êΦ▒½τâƒ5σÅ╖∩╝ë,0.0,0.0,0.0,5.0
Θ╗äΘçæσÅ╢∩╝êσ¢╜Φë▓τ╗åµö»∩╝ë,0.0,0.0,0.0,3.0
Θ╗äΘçæσÅ╢∩╝êσÉìµë¼σñ⌐Σ╕ï∩╝ë,0.0,0.0,0.0,39.0
Θ╗äΘçæσÅ╢∩╝êσå░τê╜∩╝ë,0.0,0.0,0.0,1.0
Θ╗äΘçæσÅ╢∩╝êσñºM∩╝ë,0.0,0.0,0.0,121.0
Θ╗äΘçæσÅ╢∩╝êσñºΘçæσ£å∩╝ë,0.0,0.0,0.0,232.0
Θ╗äΘçæσÅ╢∩╝êσñ⌐ΘªÖτ╗åµö»∩╝ë,0.0,0.0,0.0,84.0
Θ╗äΘçæσÅ╢∩╝êσñ⌐ΘªÖ∩╝ë,0.0,0.0,0.0,2.0
Θ╗äΘçæσÅ╢∩╝êσñ⌐σÅ╢τ╗åµö»∩╝ë,0.0,0.0,0.0,5.0
Θ╗äΘçæσÅ╢∩╝êσñ⌐σÅ╢∩╝ë,0.0,0.0,0.0,12.0
Θ╗äΘçæσÅ╢∩╝êσñ⌐σ░è∩╝ë,0.0,0.0,0.0,2.0
Θ╗äΘçæσÅ╢∩╝êσòåΘ╝Ä∩╝ë,0.0,0.0,0.0,3.0
Θ╗äΘçæσÅ╢∩╝êσû£µ╗íσáé∩╝ë,0.0,0.0,0.0,22.0
Θ╗äΘçæσÅ╢∩╝êσ░ÅΘ╗äΘçæ∩╝ë,0.0,0.0,0.0,200.0
Θ╗äΘçæσÅ╢∩╝êσ░Åσñ⌐σÅ╢∩╝ë,0.0,0.0,0.0,1.0
Θ╗äΘçæσÅ╢∩╝êσ░Åτ¢«µáç∩╝ë,0.0,0.0,0.0,108.0
Θ╗äΘçæσÅ╢∩╝êτ¢¢Σ╕ûΘçæσà╕∩╝ë,0.0,0.0,0.0,6.0
Θ╗äΘçæσÅ╢∩╝êτÖ╛σ╣┤µ╡ôΘªÖ∩╝ë,0.0,0.0,0.0,27.0
Θ╗äΘçæσÅ╢∩╝êτé½σ░Ü∩╝ë,0.0,0.0,0.0,1.0
Θ╗äΘçæσÅ╢∩╝êτê▒σ░Ü∩╝ë,0.0,0.0,0.0,216.0
Θ╗äΘçæσÅ╢∩╝êτë¢Σ╗ö∩╝ë,0.0,0.0,0.0,170.0
Θ╗äΘçæσÅ╢∩╝êτí¼Θ╗äΘçæ∩╝ë,0.0,0.0,0.0,17.0
Θ╗äΘçæσÅ╢∩╝êτí¼σñºΘçæσ£åσÅîσìüµö»∩╝ë,0.0,0.0,0.0,26.0
Θ╗äΘçæσÅ╢∩╝êτí¼σ╕¥Φ▒¬∩╝ë,0.0,0.0,0.0,23.0
Θ╗äΘçæσÅ╢∩╝êτí¼τªÅµ╗íσáé∩╝ëµû░τëê,0.0,0.0,0.0,2.0
Θ╗äΘçæσÅ╢∩╝êτí¼τ║óµùùµ╕á∩╝ë,0.0,0.0,0.0,26.0
Θ╗äΘçæσÅ╢∩╝êτ║óσìùΘÿ│∩╝ë,0.0,0.0,0.0,3.0
Θ╗äΘçæσÅ╢∩╝êτ║óσìüµ╕á∩╝ë,0.0,0.0,0.0,6.0
Θ╗äΘçæσÅ╢∩╝êτ║óτü½∩╝ë,0.0,0.0,0.0,5.0
Θ╗äΘú₧τ║óΘªÖΦäåµñÆ,0.0,0.0,0.0,6.0
Θ╗äΘú₧τ║óΘà▒ΘªÖσ░ÅΘ▒╝Φè▒τöƒ,0.0,0.0,0.0,10.0
Θ╗äΘú₧τ║óΘ║╗Φ╛úΦè▒τöƒ,0.0,0.0,0.0,23.0
Θ╗äΘú₧τ║óΘ║╗Φ╛úσ░ÅΘ▒╝Φè▒τöƒ,0.0,0.0,0.0,15.0
