,precision,recall,f1-score,support
µí╢Φúàσà¡µ£êΘ▓£τ║óτâºΘà▒µ▓╣,0.0,0.0,0.0,70.0
µí╢Φúàσæ│Φ╛╛τ╛Äσæ│µ₧üΘ▓£,0.0,0.0,0.0,309.0
µï£Σ╗üσ╖┤Φ╡½Θ╗æσòñΘàÆ,0.0,0.0,0.0,4.0
µï£Σ╗üσ╖┤Φ╡½τÖ╜σòñΘàÆ,0.0,0.0,0.0,7.0
µñìΘÇëµ╡ôΘªÖΦ▒åΣ╣│,0.0,0.0,0.0,30.0
µñ░µáæτëîµñ░µ▒ü,0.0,0.0,0.0,103.0
µñ░µ₧ùµ╣╛µ₧£Φéëµñ░σ¡Éµ▒ü,0.0,0.0,0.0,4.0
µñ░µ│░µ│░σ╝Åµñ░σ¡Éµ▒ü,0.0,0.0,0.0,2.0
µñ░µ│░ΦèÆµ₧£µ₧£µ▒üΘÑ«µûÖ,0.0,0.0,0.0,1.0
µñ░µ│░Φô¥ΦÄôµ₧£µ▒üΘÑ«µûÖ,0.0,0.0,0.0,1.0
µòúΦè▒∩╝êΦ╜»Φô¥∩╝ë,0.0,0.0,0.0,1.0
µùÑσèáµ╗í,0.0,0.0,0.0,3.0
µù║Σ╗öτë¢σÑ╢,0.0,0.0,0.0,30.0
µù║Σ╗öτë¢σÑ╢125ml,0.0,0.0,0.0,4.0
µù║Σ╗öτë¢σÑ╢145ml,0.0,0.0,0.0,2.0
µù║Σ╗öτë¢σÑ╢145ml∩╝êτ«▒Φúà∩╝ë,0.0,0.0,0.0,4.0
µù║Σ╗öτë¢σÑ╢245ml,0.0,0.0,0.0,6.0
µû»σ¢╛σèáτë╣σòñΘàÆ,0.0,0.0,0.0,3.0
µû»σ¥ªµá╣Θ╗æσòñΘàÆ,0.0,0.0,0.0,3.0
µû╜σìÄΦö╗8Θçæτ║»τ¢êµ╢ªτ▓╛µ▓╣µ┤ùσÅæΘ£▓400,0.0,0.0,0.0,1.0
µû╜σìÄΦö╗8Θçæτ║»τ¢êµ╢ªτ▓╛µ▓╣µ╢ªσÅæΣ╣│600,0.0,0.0,0.0,1.0
µû╜σìÄΦö╗µ░┤σç¥Φâ╢σÄƒΣ┐«µèñµ┤ùσÅæΘ£▓400,0.0,0.0,0.0,1.0
µû╜σìÄΦö╗τ╛èτ╗ÆΦäéµ╗ïσà╗µ┤ùσÅæΘ£▓400,0.0,0.0,0.0,1.0
µû╜σìÄΦö╗τ╛èτ╗ÆΦäéµ╗ïσà╗µ┤ùσÅæΘ£▓600,0.0,0.0,0.0,2.0
µû░µ¥╛Φ╛úΘà▒,0.0,0.0,0.0,37.0
µû░µ¥╛Φ╛úσæ│σñºΘà▒,0.0,0.0,0.0,14.0
µû░µ¥╛σñºΘà▒,0.0,0.0,0.0,12.0
µû░σ╕îµ£¢µ¥¡σ╖₧Φ«░σ┐åΘà╕σÑ╢,0.0,0.0,0.0,24.0
µû░σ╕îµ£¢Θ▓£τë¢Σ╣│700ml,0.0,0.0,0.0,2.0
µû░σ╕îµ£¢σê¥σ┐âΘà╕σÑ╢,0.0,0.0,0.0,1.0
µû░σ╕îµ£¢σìâσ▓¢µ╣ûτëºσ£║,0.0,0.0,0.0,1.0
µüÆΘí║6σ║ªτÖ╜Θåï,0.0,0.0,0.0,7.0
µüÆΘí║9σ║ªτ▒│Θåï,0.0,0.0,0.0,44.0
µüÆΘí║µûÖΘàÆ,0.0,0.0,0.0,49.0
µüÆΘí║µûÖΘàÆµí╢,0.0,0.0,0.0,60.0
µüÆΘí║ΘªÖΘåï,0.0,0.0,0.0,50.0
µüÆΘí║ΘÖêΘåï,0.020618556701030927,0.07142857142857142,0.032,28.0
µüÆΘí║ΘÖêΘåïµí╢,0.0,0.0,0.0,5.0
µüÆΘí║Θà┐ΘÇáτÖ╜Θåï,0.0,0.0,0.0,38.0
µüÆΘí║ΘçæµáçµûÖΘàÆ,0.0,0.0,0.0,1.0
µüÆΘí║ΘçæΣ╝ÿΘªÖΘåï,0.0,0.0,0.0,2.0
µüÆΘí║Θòçµ▒ƒΘªÖΘåï,0.0,0.0,0.0,85.0
µüÆΘí║Θòçµ▒ƒΘÖêΘåï,0.0,0.0,0.0,21.0
µüÆΘí║Θòçµ▒ƒΘÖêΘåï2,0.0,0.0,0.0,2.0
µüÆΘí║Θ╗äΘàÆ,0.0,0.0,0.0,71.0
µüÆΘí║Θ▓£σæ│τöƒµè╜µí╢,0.0,0.0,0.0,27.0
µüÆΘí║Σ║öΘªÖµûÖΘàÆ,0.0,0.0,0.0,2.0
µüÆΘí║ΦÇüΘàÆ,0.0,0.0,0.0,1.0
µüÆΘí║Φæ▒σº£(σ£åτô╢)µûÖΘàÆ480ML,0.0,0.0,0.0,84.0
µüÆΘí║Φæ▒σº£µûÖΘàÆ,0.0,0.0,0.0,13.0
µüÆΘí║Φï╣µ₧£Θåï,0.0,0.0,0.0,3.0
µüÆΘí║Φô¥µáçµûÖΘàÆ,0.0,0.0,0.0,1.0
µüÆΘí║σº£µ▒üµûÖΘàÆ,0.0,0.0,0.0,17.0
µüÆΘí║σº£µ▒üΘåï,0.0,0.0,0.0,5.0
µüÆΘí║τºÿσê╢µûÖΘàÆ,0.0,0.0,0.0,3.0
µüÆΘí║τÖ╜Θåï,0.0,0.0,0.0,24.0
µüÆΘí║τÖ╜τ▒│Θåï,0.0,0.0,0.0,7.0
